2022-02-16 09:55:45 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-02-16 09:55:45 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 406 ms
2022-02-16 09:55:45 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-02-16 09:55:45 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2022-02-16 09:55:45 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2022-02-16 09:55:45 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-02-16 09:55:45 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 1002 (http) with context path ''
2022-02-16 09:55:45 [restartedMain] INFO  com.signature.SignatureApplication - Started SignatureApplication in 0.655 seconds (JVM running for 3938.016)
2022-02-16 09:55:45 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2022-02-16 09:56:06 [Thread-25] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-02-16 09:56:06 [restartedMain] INFO  com.signature.SignatureApplication - Starting SignatureApplication on LAPTOP-JCEMPM0T with PID 6464 (C:\Users\dong\IdeaProjects\SignMake\target\classes started by dong in C:\Users\dong\IdeaProjects\SignMake)
2022-02-16 09:56:06 [restartedMain] INFO  com.signature.SignatureApplication - No active profile set, falling back to default profiles: default
2022-02-16 09:56:06 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 1002 (http)
2022-02-16 09:56:06 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
